Q1回答,Q2回答,Q3回答,組織,性別,classification
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,職場のコミュニケーションが課題だと感じます。,企業B,女性,maintain
成長の機会を多く与えてもらえる環境が良いです。,育児中でも仕事を続けやすくなった。,部下の育成にやりがいを感じています。,企業A,女性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,オンライン会議で効率が上がりました。,リモートでも評価制度が明確なのが良い。,団体C,男性,maintain
成長の機会を多く与えてもらえる環境が良いです。,通勤時間が短くなって嬉しいです。,部下の育成にやりがいを感じています。,企業A,非回答,maintain
自分のスキルを活かせる場があるのが嬉しいです。,通勤時間が短くなって嬉しいです。,プロジェクトの進捗が見える化されたのが良いです。,企業A,男性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,通勤時間が短くなって嬉しいです。,部下の育成にやりがいを感じています。,団体C,非回答,maintain
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,プロジェクトの進捗が見える化されたのが良いです。,企業B,非回答,maintain
自分のスキルを活かせる場があるのが嬉しいです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,企業D,女性,maintain
成長の機会を多く与えてもらえる環境が良いです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,企業B,女性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,オンライン会議で効率が上がりました。,プロジェクトの進捗が見える化されたのが良いです。,NPO法人E,男性,maintain
顧客からの感謝の言葉がやりがいです。,自宅で集中できる環境を整えました。,働き方改革の取り組みに共感しています。,企業A,女性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,通勤時間が短くなって嬉しいです。,働き方改革の取り組みに共感しています。,企業A,女性,maintain
達成感を感じられる仕事が好きです。,通勤時間が短くなって嬉しいです。,リモートでも評価制度が明確なのが良い。,団体C,非回答,maintain
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,団体C,女性,maintain
達成感を感じられる仕事が好きです。,自宅で集中できる環境を整えました。,働き方改革の取り組みに共感しています。,NPO法人E,女性,maintain
顧客からの感謝の言葉がやりがいです。,自宅で集中できる環境を整えました。,職場のコミュニケーションが課題だと感じます。,NPO法人E,女性,improve
成長の機会を多く与えてもらえる環境が良いです。,通勤時間が短くなって嬉しいです。,リモートでも評価制度が明確なのが良い。,NPO法人E,女性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,自宅で集中できる環境を整えました。,リモートでも評価制度が明確なのが良い。,企業B,女性,maintain
成長の機会を多く与えてもらえる環境が良いです。,自宅で集中できる環境を整えました。,プロジェクトの進捗が見える化されたのが良いです。,団体C,非回答,maintain
チームの一体感を感じられる瞬間が嬉しいです。,育児中でも仕事を続けやすくなった。,職場のコミュニケーションが課題だと感じます。,企業D,女性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,オンライン会議で効率が上がりました。,職場のコミュニケーションが課題だと感じます。,企業D,女性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,働き方改革の取り組みに共感しています。,企業D,男性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,オンライン会議で効率が上がりました。,部下の育成にやりがいを感じています。,団体C,非回答,maintain
自分のスキルを活かせる場があるのが嬉しいです。,オンライン会議で効率が上がりました。,職場のコミュニケーションが課題だと感じます。,企業A,非回答,maintain
達成感を感じられる仕事が好きです。,通勤時間が短くなって嬉しいです。,働き方改革の取り組みに共感しています。,団体C,非回答,maintain
チームの一体感を感じられる瞬間が嬉しいです。,自宅で集中できる環境を整えました。,働き方改革の取り組みに共感しています。,NPO法人E,非回答,maintain
達成感を感じられる仕事が好きです。,仕事と育児を両立しやすくなりました。,職場のコミュニケーションが課題だと感じます。,NPO法人E,女性,improve
顧客からの感謝の言葉がやりがいです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,企業D,男性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,育児中でも仕事を続けやすくなった。,プロジェクトの進捗が見える化されたのが良いです。,企業A,男性,maintain
達成感を感じられる仕事が好きです。,育児中でも仕事を続けやすくなった。,部下の育成にやりがいを感じています。,NPO法人E,女性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,自宅で集中できる環境を整えました。,職場のコミュニケーションが課題だと感じます。,NPO法人E,男性,maintain
達成感を感じられる仕事が好きです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,団体C,女性,maintain
成長の機会を多く与えてもらえる環境が良いです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,企業B,非回答,maintain
顧客からの感謝の言葉がやりがいです。,育児中でも仕事を続けやすくなった。,プロジェクトの進捗が見える化されたのが良いです。,企業D,男性,maintain
達成感を感じられる仕事が好きです。,仕事と育児を両立しやすくなりました。,部下の育成にやりがいを感じています。,企業B,男性,maintain
成長の機会を多く与えてもらえる環境が良いです。,通勤時間が短くなって嬉しいです。,プロジェクトの進捗が見える化されたのが良いです。,企業D,女性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,オンライン会議で効率が上がりました。,働き方改革の取り組みに共感しています。,企業D,男性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,自宅で集中できる環境を整えました。,働き方改革の取り組みに共感しています。,企業B,非回答,maintain
成長の機会を多く与えてもらえる環境が良いです。,育児中でも仕事を続けやすくなった。,プロジェクトの進捗が見える化されたのが良いです。,団体C,非回答,maintain
自分のスキルを活かせる場があるのが嬉しいです。,育児中でも仕事を続けやすくなった。,部下の育成にやりがいを感じています。,団体C,男性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,自宅で集中できる環境を整えました。,職場のコミュニケーションが課題だと感じます。,企業D,女性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,NPO法人E,非回答,maintain
自分のスキルを活かせる場があるのが嬉しいです。,自宅で集中できる環境を整えました。,プロジェクトの進捗が見える化されたのが良いです。,企業D,男性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,オンライン会議で効率が上がりました。,リモートでも評価制度が明確なのが良い。,企業A,男性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,オンライン会議で効率が上がりました。,働き方改革の取り組みに共感しています。,企業A,女性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,仕事と育児を両立しやすくなりました。,働き方改革の取り組みに共感しています。,企業D,女性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,企業B,男性,maintain
成長の機会を多く与えてもらえる環境が良いです。,仕事と育児を両立しやすくなりました。,部下の育成にやりがいを感じています。,団体C,非回答,maintain
顧客からの感謝の言葉がやりがいです。,通勤時間が短くなって嬉しいです。,職場のコミュニケーションが課題だと感じます。,企業A,男性,maintain
顧客からの感謝の言葉がやりがいです。,仕事と育児を両立しやすくなりました。,部下の育成にやりがいを感じています。,NPO法人E,非回答,maintain
チームの一体感を感じられる瞬間が嬉しいです。,自宅で集中できる環境を整えました。,職場のコミュニケーションが課題だと感じます。,団体C,非回答,maintain
チームの一体感を感じられる瞬間が嬉しいです。,自宅で集中できる環境を整えました。,リモートでも評価制度が明確なのが良い。,企業A,非回答,maintain
顧客からの感謝の言葉がやりがいです。,通勤時間が短くなって嬉しいです。,リモートでも評価制度が明確なのが良い。,企業D,非回答,maintain
達成感を感じられる仕事が好きです。,オンライン会議で効率が上がりました。,プロジェクトの進捗が見える化されたのが良いです。,企業D,非回答,maintain
成長の機会を多く与えてもらえる環境が良いです。,仕事と育児を両立しやすくなりました。,働き方改革の取り組みに共感しています。,企業A,非回答,maintain
成長の機会を多く与えてもらえる環境が良いです。,自宅で集中できる環境を整えました。,働き方改革の取り組みに共感しています。,企業D,男性,maintain
達成感を感じられる仕事が好きです。,育児中でも仕事を続けやすくなった。,職場のコミュニケーションが課題だと感じます。,団体C,男性,improve
チームの一体感を感じられる瞬間が嬉しいです。,育児中でも仕事を続けやすくなった。,プロジェクトの進捗が見える化されたのが良いです。,NPO法人E,女性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,育児中でも仕事を続けやすくなった。,働き方改革の取り組みに共感しています。,企業B,非回答,maintain
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,職場のコミュニケーションが課題だと感じます。,企業A,非回答,maintain
達成感を感じられる仕事が好きです。,育児中でも仕事を続けやすくなった。,部下の育成にやりがいを感じています。,企業A,非回答,maintain
自分のスキルを活かせる場があるのが嬉しいです。,育児中でも仕事を続けやすくなった。,部下の育成にやりがいを感じています。,企業A,非回答,maintain
顧客からの感謝の言葉がやりがいです。,自宅で集中できる環境を整えました。,職場のコミュニケーションが課題だと感じます。,企業B,女性,improve
顧客からの感謝の言葉がやりがいです。,オンライン会議で効率が上がりました。,職場のコミュニケーションが課題だと感じます。,NPO法人E,女性,improve
チームの一体感を感じられる瞬間が嬉しいです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,企業D,非回答,maintain
顧客からの感謝の言葉がやりがいです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,企業B,男性,maintain
成長の機会を多く与えてもらえる環境が良いです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,団体C,男性,maintain
顧客からの感謝の言葉がやりがいです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,企業A,女性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,通勤時間が短くなって嬉しいです。,働き方改革の取り組みに共感しています。,NPO法人E,非回答,maintain
自分のスキルを活かせる場があるのが嬉しいです。,自宅で集中できる環境を整えました。,プロジェクトの進捗が見える化されたのが良いです。,企業D,男性,maintain
顧客からの感謝の言葉がやりがいです。,仕事と育児を両立しやすくなりました。,職場のコミュニケーションが課題だと感じます。,企業D,男性,improve
成長の機会を多く与えてもらえる環境が良いです。,仕事と育児を両立しやすくなりました。,働き方改革の取り組みに共感しています。,団体C,男性,maintain
成長の機会を多く与えてもらえる環境が良いです。,通勤時間が短くなって嬉しいです。,リモートでも評価制度が明確なのが良い。,企業D,女性,maintain
成長の機会を多く与えてもらえる環境が良いです。,通勤時間が短くなって嬉しいです。,部下の育成にやりがいを感じています。,企業B,女性,maintain
達成感を感じられる仕事が好きです。,通勤時間が短くなって嬉しいです。,働き方改革の取り組みに共感しています。,企業D,非回答,maintain
達成感を感じられる仕事が好きです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,企業A,非回答,maintain
チームの一体感を感じられる瞬間が嬉しいです。,オンライン会議で効率が上がりました。,部下の育成にやりがいを感じています。,企業A,非回答,maintain
達成感を感じられる仕事が好きです。,自宅で集中できる環境を整えました。,リモートでも評価制度が明確なのが良い。,企業A,男性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,仕事と育児を両立しやすくなりました。,プロジェクトの進捗が見える化されたのが良いです。,NPO法人E,女性,maintain
顧客からの感謝の言葉がやりがいです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,企業B,非回答,maintain
チームの一体感を感じられる瞬間が嬉しいです。,仕事と育児を両立しやすくなりました。,プロジェクトの進捗が見える化されたのが良いです。,企業D,男性,maintain
顧客からの感謝の言葉がやりがいです。,自宅で集中できる環境を整えました。,部下の育成にやりがいを感じています。,団体C,女性,maintain
成長の機会を多く与えてもらえる環境が良いです。,自宅で集中できる環境を整えました。,働き方改革の取り組みに共感しています。,企業A,女性,maintain
顧客からの感謝の言葉がやりがいです。,オンライン会議で効率が上がりました。,リモートでも評価制度が明確なのが良い。,企業D,女性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,通勤時間が短くなって嬉しいです。,プロジェクトの進捗が見える化されたのが良いです。,企業D,非回答,maintain
自分のスキルを活かせる場があるのが嬉しいです。,オンライン会議で効率が上がりました。,リモートでも評価制度が明確なのが良い。,NPO法人E,女性,maintain
顧客からの感謝の言葉がやりがいです。,自宅で集中できる環境を整えました。,職場のコミュニケーションが課題だと感じます。,企業D,女性,improve
顧客からの感謝の言葉がやりがいです。,通勤時間が短くなって嬉しいです。,部下の育成にやりがいを感じています。,企業B,女性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,自宅で集中できる環境を整えました。,リモートでも評価制度が明確なのが良い。,団体C,女性,maintain
達成感を感じられる仕事が好きです。,自宅で集中できる環境を整えました。,部下の育成にやりがいを感じています。,NPO法人E,男性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,育児中でも仕事を続けやすくなった。,職場のコミュニケーションが課題だと感じます。,NPO法人E,女性,maintain
成長の機会を多く与えてもらえる環境が良いです。,通勤時間が短くなって嬉しいです。,部下の育成にやりがいを感じています。,企業D,男性,maintain
顧客からの感謝の言葉がやりがいです。,仕事と育児を両立しやすくなりました。,働き方改革の取り組みに共感しています。,企業B,男性,maintain
成長の機会を多く与えてもらえる環境が良いです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,NPO法人E,男性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,通勤時間が短くなって嬉しいです。,職場のコミュニケーションが課題だと感じます。,NPO法人E,非回答,maintain
達成感を感じられる仕事が好きです。,オンライン会議で効率が上がりました。,プロジェクトの進捗が見える化されたのが良いです。,団体C,女性,maintain
達成感を感じられる仕事が好きです。,育児中でも仕事を続けやすくなった。,プロジェクトの進捗が見える化されたのが良いです。,企業D,女性,maintain
チームの一体感を感じられる瞬間が嬉しいです。,自宅で集中できる環境を整えました。,リモートでも評価制度が明確なのが良い。,団体C,男性,maintain
自分のスキルを活かせる場があるのが嬉しいです。,自宅で集中できる環境を整えました。,働き方改革の取り組みに共感しています。,企業D,非回答,maintain
成長の機会を多く与えてもらえる環境が良いです。,通勤時間が短くなって嬉しいです。,職場のコミュニケーションが課題だと感じます。,企業A,非回答,maintain
