Q1回答,Q2回答,Q3回答,組織,性別,Q1回答_tokens,Q2回答_tokens,Q3回答_tokens,Q1回答_tokens_sentiment,Q2回答_tokens_sentiment,Q3回答_tokens_sentiment
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,職場のコミュニケーションが課題だと感じます。,企業B,女性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['仕事', '育児', '両立']","['職場', 'コミュニケーション', '課題']",ポジティブ,中立,ネガティブ
成長の機会を多く与えてもらえる環境が良いです。,育児中でも仕事を続けやすくなった。,部下の育成にやりがいを感じています。,企業A,女性,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['育児', '仕事', '続ける']","['部下', '育成', 'やりがい']",ポジティブ,中立,ポジティブ
チームの一体感を感じられる瞬間が嬉しいです。,オンライン会議で効率が上がりました。,リモートでも評価制度が明確なのが良い。,団体C,男性,"['チーム', '一体', '瞬間', '嬉しい']","['オンライン', '会議', '効率', '上がる']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
成長の機会を多く与えてもらえる環境が良いです。,通勤時間が短くなって嬉しいです。,部下の育成にやりがいを感じています。,企業A,非回答,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['通勤', '時間', '短い', '嬉しい']","['部下', '育成', 'やりがい']",ポジティブ,ポジティブ,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,通勤時間が短くなって嬉しいです。,プロジェクトの進捗が見える化されたのが良いです。,企業A,男性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['通勤', '時間', '短い', '嬉しい']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,ポジティブ,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,通勤時間が短くなって嬉しいです。,部下の育成にやりがいを感じています。,団体C,非回答,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['通勤', '時間', '短い', '嬉しい']","['部下', '育成', 'やりがい']",ポジティブ,ポジティブ,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,プロジェクトの進捗が見える化されたのが良いです。,企業B,非回答,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['仕事', '育児', '両立']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,中立,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,企業D,女性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['育児', '仕事', '続ける']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
成長の機会を多く与えてもらえる環境が良いです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,企業B,女性,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['育児', '仕事', '続ける']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,オンライン会議で効率が上がりました。,プロジェクトの進捗が見える化されたのが良いです。,NPO法人E,男性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['オンライン', '会議', '効率', '上がる']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,中立,ポジティブ
顧客からの感謝の言葉がやりがいです。,自宅で集中できる環境を整えました。,働き方改革の取り組みに共感しています。,企業A,女性,"['顧客', '感謝', '言葉', 'やりがい']","['自宅', '集中', 'できる', '環境', '整える']","['働く', '改革', '取り組み', '共感']",ポジティブ,中立,中立
チームの一体感を感じられる瞬間が嬉しいです。,通勤時間が短くなって嬉しいです。,働き方改革の取り組みに共感しています。,企業A,女性,"['チーム', '一体', '瞬間', '嬉しい']","['通勤', '時間', '短い', '嬉しい']","['働く', '改革', '取り組み', '共感']",ポジティブ,ポジティブ,中立
達成感を感じられる仕事が好きです。,通勤時間が短くなって嬉しいです。,リモートでも評価制度が明確なのが良い。,団体C,非回答,"['達成', '仕事', '好き']","['通勤', '時間', '短い', '嬉しい']","['リモート', '評価', '制度', '明確', '良い']",中立,ポジティブ,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,団体C,女性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['仕事', '育児', '両立']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
達成感を感じられる仕事が好きです。,自宅で集中できる環境を整えました。,働き方改革の取り組みに共感しています。,NPO法人E,女性,"['達成', '仕事', '好き']","['自宅', '集中', 'できる', '環境', '整える']","['働く', '改革', '取り組み', '共感']",中立,中立,中立
顧客からの感謝の言葉がやりがいです。,自宅で集中できる環境を整えました。,職場のコミュニケーションが課題だと感じます。,NPO法人E,女性,"['顧客', '感謝', '言葉', 'やりがい']","['自宅', '集中', 'できる', '環境', '整える']","['職場', 'コミュニケーション', '課題']",ポジティブ,中立,ネガティブ
成長の機会を多く与えてもらえる環境が良いです。,通勤時間が短くなって嬉しいです。,リモートでも評価制度が明確なのが良い。,NPO法人E,女性,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['通勤', '時間', '短い', '嬉しい']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,ポジティブ,ポジティブ
チームの一体感を感じられる瞬間が嬉しいです。,自宅で集中できる環境を整えました。,リモートでも評価制度が明確なのが良い。,企業B,女性,"['チーム', '一体', '瞬間', '嬉しい']","['自宅', '集中', 'できる', '環境', '整える']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
成長の機会を多く与えてもらえる環境が良いです。,自宅で集中できる環境を整えました。,プロジェクトの進捗が見える化されたのが良いです。,団体C,非回答,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['自宅', '集中', 'できる', '環境', '整える']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,中立,ポジティブ
チームの一体感を感じられる瞬間が嬉しいです。,育児中でも仕事を続けやすくなった。,職場のコミュニケーションが課題だと感じます。,企業D,女性,"['チーム', '一体', '瞬間', '嬉しい']","['育児', '仕事', '続ける']","['職場', 'コミュニケーション', '課題']",ポジティブ,中立,ネガティブ
自分のスキルを活かせる場があるのが嬉しいです。,オンライン会議で効率が上がりました。,職場のコミュニケーションが課題だと感じます。,企業D,女性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['オンライン', '会議', '効率', '上がる']","['職場', 'コミュニケーション', '課題']",ポジティブ,中立,ネガティブ
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,働き方改革の取り組みに共感しています。,企業D,男性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['仕事', '育児', '両立']","['働く', '改革', '取り組み', '共感']",ポジティブ,中立,中立
チームの一体感を感じられる瞬間が嬉しいです。,オンライン会議で効率が上がりました。,部下の育成にやりがいを感じています。,団体C,非回答,"['チーム', '一体', '瞬間', '嬉しい']","['オンライン', '会議', '効率', '上がる']","['部下', '育成', 'やりがい']",ポジティブ,中立,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,オンライン会議で効率が上がりました。,職場のコミュニケーションが課題だと感じます。,企業A,非回答,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['オンライン', '会議', '効率', '上がる']","['職場', 'コミュニケーション', '課題']",ポジティブ,中立,ネガティブ
達成感を感じられる仕事が好きです。,通勤時間が短くなって嬉しいです。,働き方改革の取り組みに共感しています。,団体C,非回答,"['達成', '仕事', '好き']","['通勤', '時間', '短い', '嬉しい']","['働く', '改革', '取り組み', '共感']",中立,ポジティブ,中立
チームの一体感を感じられる瞬間が嬉しいです。,自宅で集中できる環境を整えました。,働き方改革の取り組みに共感しています。,NPO法人E,非回答,"['チーム', '一体', '瞬間', '嬉しい']","['自宅', '集中', 'できる', '環境', '整える']","['働く', '改革', '取り組み', '共感']",ポジティブ,中立,中立
達成感を感じられる仕事が好きです。,仕事と育児を両立しやすくなりました。,職場のコミュニケーションが課題だと感じます。,NPO法人E,女性,"['達成', '仕事', '好き']","['仕事', '育児', '両立']","['職場', 'コミュニケーション', '課題']",中立,中立,ネガティブ
顧客からの感謝の言葉がやりがいです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,企業D,男性,"['顧客', '感謝', '言葉', 'やりがい']","['仕事', '育児', '両立']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,育児中でも仕事を続けやすくなった。,プロジェクトの進捗が見える化されたのが良いです。,企業A,男性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['育児', '仕事', '続ける']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,中立,ポジティブ
達成感を感じられる仕事が好きです。,育児中でも仕事を続けやすくなった。,部下の育成にやりがいを感じています。,NPO法人E,女性,"['達成', '仕事', '好き']","['育児', '仕事', '続ける']","['部下', '育成', 'やりがい']",中立,中立,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,自宅で集中できる環境を整えました。,職場のコミュニケーションが課題だと感じます。,NPO法人E,男性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['自宅', '集中', 'できる', '環境', '整える']","['職場', 'コミュニケーション', '課題']",ポジティブ,中立,ネガティブ
達成感を感じられる仕事が好きです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,団体C,女性,"['達成', '仕事', '好き']","['育児', '仕事', '続ける']","['リモート', '評価', '制度', '明確', '良い']",中立,中立,ポジティブ
成長の機会を多く与えてもらえる環境が良いです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,企業B,非回答,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['仕事', '育児', '両立']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
顧客からの感謝の言葉がやりがいです。,育児中でも仕事を続けやすくなった。,プロジェクトの進捗が見える化されたのが良いです。,企業D,男性,"['顧客', '感謝', '言葉', 'やりがい']","['育児', '仕事', '続ける']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,中立,ポジティブ
達成感を感じられる仕事が好きです。,仕事と育児を両立しやすくなりました。,部下の育成にやりがいを感じています。,企業B,男性,"['達成', '仕事', '好き']","['仕事', '育児', '両立']","['部下', '育成', 'やりがい']",中立,中立,ポジティブ
成長の機会を多く与えてもらえる環境が良いです。,通勤時間が短くなって嬉しいです。,プロジェクトの進捗が見える化されたのが良いです。,企業D,女性,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['通勤', '時間', '短い', '嬉しい']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,ポジティブ,ポジティブ
チームの一体感を感じられる瞬間が嬉しいです。,オンライン会議で効率が上がりました。,働き方改革の取り組みに共感しています。,企業D,男性,"['チーム', '一体', '瞬間', '嬉しい']","['オンライン', '会議', '効率', '上がる']","['働く', '改革', '取り組み', '共感']",ポジティブ,中立,中立
チームの一体感を感じられる瞬間が嬉しいです。,自宅で集中できる環境を整えました。,働き方改革の取り組みに共感しています。,企業B,非回答,"['チーム', '一体', '瞬間', '嬉しい']","['自宅', '集中', 'できる', '環境', '整える']","['働く', '改革', '取り組み', '共感']",ポジティブ,中立,中立
成長の機会を多く与えてもらえる環境が良いです。,育児中でも仕事を続けやすくなった。,プロジェクトの進捗が見える化されたのが良いです。,団体C,非回答,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['育児', '仕事', '続ける']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,中立,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,育児中でも仕事を続けやすくなった。,部下の育成にやりがいを感じています。,団体C,男性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['育児', '仕事', '続ける']","['部下', '育成', 'やりがい']",ポジティブ,中立,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,自宅で集中できる環境を整えました。,職場のコミュニケーションが課題だと感じます。,企業D,女性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['自宅', '集中', 'できる', '環境', '整える']","['職場', 'コミュニケーション', '課題']",ポジティブ,中立,ネガティブ
自分のスキルを活かせる場があるのが嬉しいです。,仕事と育児を両立しやすくなりました。,リモートでも評価制度が明確なのが良い。,NPO法人E,非回答,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['仕事', '育児', '両立']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,自宅で集中できる環境を整えました。,プロジェクトの進捗が見える化されたのが良いです。,企業D,男性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['自宅', '集中', 'できる', '環境', '整える']","['プロジェクト', '進捗', '見える', 'れる', '良い']",ポジティブ,中立,ポジティブ
自分のスキルを活かせる場があるのが嬉しいです。,オンライン会議で効率が上がりました。,リモートでも評価制度が明確なのが良い。,企業A,男性,"['自分', 'スキル', '活かる', 'ある', '嬉しい']","['オンライン', '会議', '効率', '上がる']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
チームの一体感を感じられる瞬間が嬉しいです。,オンライン会議で効率が上がりました。,働き方改革の取り組みに共感しています。,企業A,女性,"['チーム', '一体', '瞬間', '嬉しい']","['オンライン', '会議', '効率', '上がる']","['働く', '改革', '取り組み', '共感']",ポジティブ,中立,中立
チームの一体感を感じられる瞬間が嬉しいです。,仕事と育児を両立しやすくなりました。,働き方改革の取り組みに共感しています。,企業D,女性,"['チーム', '一体', '瞬間', '嬉しい']","['仕事', '育児', '両立']","['働く', '改革', '取り組み', '共感']",ポジティブ,中立,中立
チームの一体感を感じられる瞬間が嬉しいです。,育児中でも仕事を続けやすくなった。,リモートでも評価制度が明確なのが良い。,企業B,男性,"['チーム', '一体', '瞬間', '嬉しい']","['育児', '仕事', '続ける']","['リモート', '評価', '制度', '明確', '良い']",ポジティブ,中立,ポジティブ
成長の機会を多く与えてもらえる環境が良いです。,仕事と育児を両立しやすくなりました。,部下の育成にやりがいを感じています。,団体C,非回答,"['成長', '機会', '多い', '与える', 'もらえる', '環境', '良い']","['仕事', '育児', '両立']","['部下', '育成', 'やりがい']",ポジティブ,中立,ポジティブ
顧客からの感謝の言葉がやりがいです。,通勤時間が短くなって嬉しいです。,職場のコミュニケーションが課題だと感じます。,企業A,男性,"['顧客', '感謝', '言葉', 'やりがい']","['通勤', '時間', '短い', '嬉しい']","['職場', 'コミュニケーション', '課題']",ポジティブ,ポジティブ,ネガティブ
